Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2023-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Thu, 03 Aug 2023 19:56:49 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1987-0395-FRA,1987,0395,,Natural,Hydrological,Flood,,,,France,FRA,Western Europe,Europe,Grand-Bornand,,,,,,,,,Km2,,,,,1987,7,14,1987,7,14,23,,,,,,,,,,,38.82560081,,,,
1988-0698-FRA,1988,0698,,Natural,Hydrological,Flood,Flash flood,,,France,FRA,Western Europe,Europe,Nimes (Gard),Brief torrential rains,,,,No,No,,710,Km2,,,,,1988,10,3,1988,10,3,10,,300,,300,,,,,500000,1237354,40.40880605,,,,
1989-9595-FRA,1989,9595,,Natural,Climatological,Drought,Drought,,,France,FRA,Western Europe,Europe,Corse,,,,,No,No,,,Km2,,,,,1989,7,,1989,8,,,,,,,,,,,1600000,3777207,42.35934309,,,,
1989-0590-FRA,1989,0590,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,,,,,,,,,,Kph,,,,,1989,2,26,1989,2,26,9,,,,,,,,,,,42.35934309,,,,
1990-0004-FRA,1990,0004,,Natural,Hydrological,Landslide,Avalanche,,,France,FRA,Western Europe,Europe,"Tignes, Val d'Isere",,,,,No,No,,,,,,,,1990,2,15,1990,2,17,14,,,,,,,,,,,44.64587744,,,,
1990-0085-FRA,1990,0085,,Natural,Meteorological,Extreme temperature,Heat wave,,,France,FRA,Western Europe,Europe,Southwestern,,,,,,,,40,°C,,,,,1990,7,24,1990,7,24,5,,,,,,,,,,,44.64587744,,,,
1990-0153-FRA,1990,0153,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,"Massif Central, Rhone Valley",,,,,,,,,Kph,,,,,1990,12,9,1990,12,9,,,,,,,,,,,,44.64587744,,,,
1990-0717-FRA,1990,0717,,Natural,Meteorological,Storm,,,Daria,France,FRA,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,1,25,1990,1,26,,,,,,,,300000,671955,400000,895939,44.64587744,,,,
1990-0718-FRA,1990,0718,,Natural,Meteorological,Storm,,,Herta,France,FRA,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2,3,1990,2,4,23,,,,,,,700000,1567894,900000,2015864,44.64587744,,,,
1990-0719-FRA,1990,0719,,Natural,Meteorological,Storm,,,Judith,France,FRA,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2,7,1990,2,8,,,,,,,,30000,67195,60000,134391,44.64587744,,,,
